participantNumber,user_id,session_id,browser,avg_task_duration,total_gaze_points,total_emotions,total_interactions,positive_emotions,negative_emotions,neutral_emotions,emotion_transitions_count,gaze_num_fixations,gaze_avg_fixation_duration,gaze_dispersion_x,gaze_dispersion_y
9,session_1747841234419_k15ry6m4n,session_1747841234419_k15ry6m4n,Chrome,40654.333333333336,613,649,6,52,8,588,41,153,341.1830065359477,226.27674120065672,131.52055291844275
9,session_1747841633674_kf5xteob2,session_1747841633674_kf5xteob2,Firefox,31392.333333333332,84,85,6,11,0,74,8,17,1228.235294117647,271.9872195431782,125.62418096685052
11,session_1747841911923_hbqu18q9c,session_1747841911923_hbqu18q9c,Firefox,31487.666666666668,188,181,6,31,1,149,15,39,741.2820512820513,212.1178728726515,177.03675936479632
11,session_1747842183517_xrn1by5hs,session_1747842183517_xrn1by5hs,Chrome,32167.0,262,335,6,92,3,240,24,13,190.23076923076923,623.310793827104,441.2917938663789
8,session_1747842441779_9t53fgz8j,session_1747842441779_9t53fgz8j,Chrome,16760.75,463,397,8,55,3,339,18,110,238.48181818181817,257.9629737815651,173.24464281177634
8,session_1747842730253_0jtvbx05u,session_1747842730253_0jtvbx05u,Firefox,19647.333333333332,222,209,6,19,2,188,6,54,342.22222222222223,241.2640161518098,174.24585726003696
5,session_1747843043701_im0gzzv5g,session_1747843043701_im0gzzv5g,Firefox,9604.0,275,210,6,0,0,210,0,20,492.5,397.26379173038794,283.00754079056566
5,session_1747843191290_j5ji06qtr,session_1747843191290_j5ji06qtr,Chrome,7578.0,101,113,6,0,1,112,2,21,842.6666666666666,267.98221851618354,158.62167322201987
2,session_1747843354047_2m5yfda8i,session_1747843354047_2m5yfda8i,Chrome,21127.333333333332,245,250,6,0,0,250,0,43,380.8837209302326,203.90257650820342,131.05348030211798
2,session_1747843540569_4et8rmh6d,session_1747843540569_4et8rmh6d,Firefox,23685.333333333332,164,129,6,0,1,128,2,27,670.0,277.02856382416314,266.0734291996426
7,session_1747843754374_byyffqqqo,session_1747843754374_byyffqqqo,Firefox,27349.666666666668,201,183,6,14,0,169,6,52,619.4230769230769,239.94378095938637,110.90472166179332
7,session_1747843941022_dkz02nv7q,session_1747843941022_dkz02nv7q,Chrome,28216.333333333332,110,170,6,1,0,169,2,25,450.32,358.2424444414304,110.20843416358196
14,session_1747844176883_csnm6volu,session_1747844176883_csnm6volu,Chrome,28440.333333333332,259,304,6,0,0,304,0,61,470.0983606557377,250.1102655564368,134.07121791570594
14,session_1747844417503_rz2y1hwbj,session_1747844417503_rz2y1hwbj,Firefox,16720.666666666668,122,118,6,1,0,117,2,25,622.2,159.84706784527305,87.19573039558561
10,session_1747844622025_bm3rulh19,session_1747844622025_bm3rulh19,Firefox,22764.0,147,145,6,0,4,141,2,29,1049.6896551724137,209.35896504026155,148.87686102380943
10,session_1747844810012_gjsyoekou,session_1747844810012_gjsyoekou,Chrome,10197.0,103,108,6,0,0,108,0,20,556.0,279.17640235672366,124.73257861532939
6,session_1747845009132_xp4f87bfo,session_1747845009132_xp4f87bfo,Chrome,19963.0,118,16,6,0,0,16,0,26,1233.5384615384614,200.67635608847982,101.28837794824119
6,session_1747845239871_hq8aikp1u,session_1747845239871_hq8aikp1u,Firefox,15814.0,0,0,6,0,0,0,0,0,0.0,0.0,0.0
25,session_1747845716591_1amlf5rdw,session_1747845716591_1amlf5rdw,Firefox,29313.333333333332,318,271,6,0,0,271,0,77,553.3506493506494,301.3659730256489,141.0679626415677
25,session_1747845988151_cxd132r83,session_1747845988151_cxd132r83,Chrome,28622.666666666668,238,271,6,15,0,256,6,48,207.1875,446.3333614033802,185.83250793869166
3,session_1747922798271_2qzm618kn,session_1747922798271_2qzm618kn,Firefox,10886.0,60,58,2,0,1,56,3,14,281.85714285714283,363.10247320538735,105.32068920508908
3,session_1747923134596_2s8q3imla,session_1747923134596_2s8q3imla,Chrome,0.0,7,5,0,2,0,3,3,1,364.0,114.68668146750197,143.1505964489633
17,session_1747923356514_rucdn213j,session_1747923356514_rucdn213j,Firefox,13653.333333333334,129,150,6,49,0,86,42,24,535.9583333333334,195.39189745363635,148.9144118304529
17,session_1747923826791_94nim4ruw,session_1747923826791_94nim4ruw,Chrome,21069.666666666668,148,184,6,22,0,157,18,36,1307.75,290.4174891429654,124.57437131438384
28,session_1747924110040_jlpfhdgoz,session_1747924110040_jlpfhdgoz,Chrome,27185.333333333332,285,330,6,8,0,191,107,48,276.5833333333333,390.9383812050146,136.49909746516622
28,session_1747924447976_k5pqodqef,session_1747924447976_k5pqodqef,Firefox,25235.333333333332,113,169,6,37,0,106,48,15,578.4,327.832630146562,305.5746664812179
26,session_1747924806919_etl1c7b4c,session_1747924806919_etl1c7b4c,Firefox,27431.666666666668,99,159,6,35,1,121,31,18,659.1666666666666,249.24016535920035,190.86950684072087
26,session_1747925087817_6logu6eoy,session_1747925087817_6logu6eoy,Chrome,17724.666666666668,253,278,6,32,7,238,34,55,431.3818181818182,301.0967701499337,140.13824657870256
42,session_1747925362184_vldl72w9x,session_1747925362184_vldl72w9x,Chrome,19703.333333333332,577,559,6,0,1,556,6,48,210.52083333333334,447.85600576985996,225.6430538756889
42,session_1747925618204_3kjtpgp76,session_1747925618204_3kjtpgp76,Firefox,20211.0,97,130,6,5,0,123,7,25,2215.6,324.95661859766506,138.02546513369973
27,session_1747926096664_o71c6gs7w,session_1747926096664_o71c6gs7w,Firefox,22786.666666666668,452,453,6,23,3,424,22,104,333.03846153846155,316.4439293167988,167.30818106992731
27,session_1747926386056_39mzt87ai,session_1747926386056_39mzt87ai,Chrome,16177.666666666666,171,189,6,4,0,183,8,32,734.125,318.7408345580587,205.27984292738572
4,session_1747926623913_cp84uzwrc,session_1747926623913_cp84uzwrc,Chrome,31413.333333333332,391,445,6,72,0,373,6,84,417.7857142857143,308.0766827467149,185.00770855005652
4,session_1747926891071_0gq5117rs,session_1747926891071_0gq5117rs,Firefox,30828.666666666668,319,386,6,0,0,386,0,83,287.04819277108436,301.10406607956446,152.13129320454917
45,session_1747927227598_y1vn7ij3u,session_1747927227598_y1vn7ij3u,Firefox,40905.666666666664,428,526,6,109,5,412,82,100,213.65,271.53745439659144,143.20267705543446
45,session_1747927550139_h96190blv,session_1747927550139_h96190blv,Chrome,12460.666666666666,197,243,6,15,0,228,12,46,649.5,293.5616381134729,114.9309051319028
41,session_1747927881223_knb5y5xpa,session_1747927881223_knb5y5xpa,Chrome,24765.0,299,342,6,60,0,282,14,69,590.3478260869565,265.70732288509856,193.15546552176323
41,session_1747928129941_uywnksdrt,session_1747928129941_uywnksdrt,Firefox,20566.0,137,170,6,64,0,106,13,29,987.1034482758621,322.47438747757127,196.6221146840193
35,session_1747929314717_xhuuw77qy,session_1747929314717_xhuuw77qy,Firefox,22240.666666666668,492,511,6,10,6,495,15,128,299.5390625,222.09595232411914,163.64042308488536
35,session_1747929574008_2cdaw7dm9,session_1747929574008_2cdaw7dm9,Chrome,21813.0,193,231,6,1,2,228,4,47,835.6382978723404,267.16732493943186,101.7480847427674
